City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
167,cozumel,20.5083,-86.9458,28.04,67,40,4.12,MX,1701977182
168,saranac lake,44.3295,-74.1313,-2.29,81,100,0.0,US,1701977183
169,longyearbyen,78.2186,15.6401,-3.09,74,20,10.29,SJ,1701977183
170,nova vicosa,-17.8919,-39.3719,28.44,65,6,6.27,BR,1701977184
171,muang phonsavan,19.45,103.2167,15.46,90,93,0.58,LA,1701977184
172,siwa oasis,29.2041,25.5195,16.74,46,100,2.46,EG,1701977184
173,cam pha mines,21.0167,107.3,16.89,62,96,1.6,VN,1701977185
174,longjiang,47.3303,123.1836,-11.08,92,100,3.43,CN,1701977185
175,punta arenas,-53.15,-70.9167,15.01,66,0,5.14,CL,1701977185
176,vilhena,-12.7406,-60.1458,28.12,69,40,4.12,BR,1701977052
177,rabaul,-4.1967,152.1721,26.85,79,85,2.92,PG,1701977186
178,iskateley,67.6803,53.1512,-14.43,96,100,3.58,RU,1701977186
179,fortuna,40.5982,-124.1573,11.63,97,40,0.89,US,1701977186
180,usogorsk,63.4106,48.6872,-29.63,99,12,0.28,RU,1701977187
181,chernyshevskiy,63.0128,112.4714,-44.99,100,96,0.35,RU,1701977187
182,touros,-5.1989,-35.4608,28.36,67,28,6.59,BR,1701977187
183,hotan,37.0997,79.9269,8.71,10,0,3.47,CN,1701977187
184,isafjordur,66.0755,-23.124,2.02,64,40,10.29,IS,1701977188
185,san pedro piedra gorda,22.45,-102.35,16.49,62,21,4.44,MX,1701977188
186,kinzan,36.1031,127.4889,3.62,84,0,2.18,KR,1701977189
187,brookings,44.3114,-96.7984,15.77,49,0,6.17,US,1701977189
188,arafat,21.3594,39.9664,26.46,61,0,1.3,SA,1701977189
189,happy valley-goose bay,53.3168,-60.3315,-4.83,68,100,8.75,CA,1701977191
190,port blair,11.6667,92.75,25.02,94,11,1.03,IN,1701977191
191,kailua-kona,19.6406,-155.9956,26.39,78,40,1.54,US,1701977191
192,saipan,15.1355,145.701,27.39,83,40,5.66,MP,1701977191
193,marica,-22.9194,-42.8186,33.97,69,0,3.03,BR,1701977192
194,port augusta,-32.5,137.7667,28.74,34,62,1.61,AU,1701977192
195,smithers,54.7804,-127.1743,-3.82,93,100,1.54,CA,1701977192
196,kassala,15.451,36.4,28.97,27,2,3.41,SD,1701977193
197,katabu,-4.9333,122.5167,24.87,92,99,0.92,ID,1701977193
198,keflavik,64.0049,-22.5624,1.24,60,0,5.66,IS,1701977193
199,alaghsas,17.0187,8.0168,23.65,12,39,2.82,NE,1701977194
200,portmore,17.9702,-76.8672,31.98,66,40,5.14,JM,1701977194
201,kirakira,-10.4544,161.9205,26.55,86,98,4.59,SB,1701977120
202,nogliki,51.8333,143.1667,0.75,98,100,5.81,RU,1701977195
203,verkhov'ye,52.8119,37.2425,-11.99,96,95,4.91,RU,1701977195
204,coahuayana de hidalgo,18.7,-103.6583,31.69,48,56,1.06,MX,1701977195
205,joshimath,30.5667,79.5667,6.69,22,0,3.7,IN,1701977196
206,camana,-16.6228,-72.7111,22.45,68,77,4.16,PE,1701977196
207,lorengau,-2.0226,147.2712,27.42,83,99,5.57,PG,1701977196
208,suva,-18.1416,178.4415,26.71,83,75,1.03,FJ,1701977196
209,malpica,43.3228,-8.8105,14.01,77,96,5.83,ES,1701977197
210,susuman,62.7833,148.1667,-35.8,94,100,0.4,RU,1701977197
211,whitehorse,60.7161,-135.0538,-4.57,85,75,7.2,CA,1701977067
212,kayangel,8.0823,134.7173,28.18,68,36,5.49,PW,1701977063
213,severo-yeniseyskiy,60.3725,93.0408,-31.9,93,95,1.34,RU,1701977198
214,nova sintra,14.8667,-24.7167,21.35,74,100,7.44,CV,1701977198
215,port saint john's,-31.6229,29.5448,21.58,81,19,4.8,ZA,1701977198
216,namtsy,62.7161,129.6658,-37.26,89,100,1.86,RU,1701977199
217,belyy yar,53.6039,91.3903,-20.06,77,100,4.0,RU,1701977199
218,inarajan village,13.2736,144.7484,28.08,86,100,7.7,GU,1701977199
219,takhatpur,22.15,81.8667,17.62,93,42,2.36,IN,1701977199
220,talakan,50.3167,130.3667,-20.68,95,98,1.45,RU,1701977200
221,horby,50.0468,32.4907,-1.84,95,100,5.53,UA,1701977200
222,port hedland,-20.3167,118.5667,26.03,89,6,0.0,AU,1701977178
223,chimoio,-19.1164,33.4833,21.92,73,0,2.84,MZ,1701977201
224,strezhevoy,60.7333,77.5889,-25.02,85,100,2.68,RU,1701977201
225,zaokskiy,54.7306,37.4089,-19.56,100,99,2.88,RU,1701977201
226,olyokminsk,60.3736,120.4264,-33.98,95,100,0.56,RU,1701977201
227,bredasdorp,-34.5322,20.0403,18.72,85,0,4.26,ZA,1701977202
228,kenora,49.8167,-94.4337,4.54,70,75,3.09,CA,1701977157
229,usinsk,65.9939,57.5281,-19.96,99,100,3.13,RU,1701977202
230,nurota,40.5614,65.6886,3.8,52,98,1.79,UZ,1701977203
231,guerrero,17.6667,-100.0,24.69,53,98,1.99,MX,1701977203
232,puerto cabezas,14.0351,-83.3888,27.98,94,75,7.2,NI,1701977203
233,udachny,66.4167,112.4,-25.31,75,100,1.35,RU,1701977204
234,villa gesell,-37.2639,-56.973,18.36,71,0,7.01,AR,1701977204
235,mount gambier,-37.8333,140.7667,18.04,58,85,2.14,AU,1701977204
236,namibe,-15.1961,12.1522,23.16,82,96,4.17,AO,1701977205
237,kuanda,56.3161,116.0806,-30.52,98,100,0.86,RU,1701977205
238,kolonia town,6.964,158.206,29.0,74,100,4.12,FM,1701977205
239,zouerate,22.7187,-12.4521,22.33,22,100,3.54,MR,1701977205
240,korocha,50.8107,37.1953,-3.6,79,100,6.36,RU,1701977206
241,balezino,57.9796,53.0106,-35.31,100,49,0.92,RU,1701977206
242,le moule,16.3332,-61.3473,30.02,75,19,5.9,GP,1701977206
243,ta`u,-14.2336,-169.5144,27.12,84,4,6.19,AS,1701977206
244,floro,61.5996,5.0328,1.98,75,0,4.63,NO,1701977207
245,rakops,-21.0167,24.3333,30.61,26,6,3.06,BW,1701977207
246,ixtapa,20.7,-105.2,29.57,54,75,3.09,MX,1701977207
247,pyhajarvi,67.0701,27.2176,-13.46,96,100,2.85,FI,1701977207
248,changleng,28.7,115.8167,12.9,54,27,2.65,CN,1701977208
249,geraldton,-28.7667,114.6,19.23,72,100,4.63,AU,1701977208
250,mata-utu,-13.2816,-176.1745,28.25,80,49,6.08,WF,1701977208
251,sitka,57.0531,-135.33,2.94,87,75,3.6,US,1701977208
252,port mathurin,-19.6833,63.4167,25.96,77,12,3.72,MU,1701977209
253,vorkuta,67.5,64.0,-26.42,98,100,2.04,RU,1701977209
254,goroka,-6.0834,145.3873,15.66,93,99,1.66,PG,1701977209
255,labuan,5.2767,115.2417,25.2,94,40,0.0,MY,1701977041
256,dieppe,49.75,1.1667,5.11,90,100,1.79,FR,1701977210
257,revda,56.801,59.9303,-32.46,97,5,0.36,RU,1701977210
258,sialkot,32.5101,74.5431,12.9,81,0,0.0,PK,1701977210
259,plastun,44.7561,136.2939,-8.75,58,0,2.82,RU,1701977210
260,jianshui,23.6363,102.8264,12.21,94,43,1.66,CN,1701977211
261,dabhol,17.6,73.1667,23.22,77,3,1.7,IN,1701977211
262,palafrugell,41.9174,3.1631,14.64,51,100,1.79,ES,1701977211
263,la ronge,55.1001,-105.2842,-0.86,74,75,1.54,CA,1701977211
264,roshchino,60.2519,29.6085,-16.68,99,100,3.78,RU,1701977212
265,ostersund,63.1792,14.6357,-19.75,77,100,0.0,SE,1701977212
266,invercargill,-46.4,168.35,10.93,66,95,3.52,NZ,1701977212
267,kavieng,-2.5744,150.7967,27.38,81,100,3.98,PG,1701977212
268,mount isa,-20.7333,139.5,24.87,38,5,1.54,AU,1701977213
269,sao jose da coroa grande,-8.8978,-35.1478,27.6,67,87,4.57,BR,1701977213
270,fonte boa,-2.4959,-66.2662,28.21,88,63,0.59,BR,1701977213
271,kaitong,44.8135,123.15,-4.02,88,49,4.77,CN,1701977213
272,palembang,-2.9167,104.7458,25.05,94,40,1.03,ID,1701977214
273,tual,-5.6667,132.75,28.83,70,100,0.48,ID,1701977214
274,tazacorte,28.629,-17.9293,20.54,78,40,4.12,ES,1701977214
275,carutapera,-1.195,-46.02,29.98,65,99,4.71,BR,1701977215
276,kenai,60.5544,-151.2583,-6.03,89,75,5.14,US,1701977215
277,petropavlovsk-kamchatsky,53.0452,158.6483,-7.53,72,75,2.24,RU,1701976980
278,ancud,-41.8697,-73.8203,14.88,64,0,4.8,CL,1701977215
279,vadso,70.0744,29.7487,-9.91,85,100,9.26,NO,1701977216
280,bogotol,56.2078,89.5342,-22.86,97,100,2.85,RU,1701977216
281,wotho,10.1657,166.0102,27.43,81,25,10.71,MH,1701977216
282,nizhneudinsk,54.9076,99.0276,-31.23,98,98,0.5,RU,1701977216
283,nadym,65.5333,72.5167,-21.8,96,100,6.95,RU,1701977217
284,alice springs,-23.7,133.8833,23.75,73,1,3.6,AU,1701977217
285,hirara,24.8,125.2833,19.15,72,10,3.6,JP,1701977217
286,lincoln city,44.9582,-124.0179,9.89,89,100,7.15,US,1701977108
287,sinop,41.7711,34.8709,8.93,81,70,3.16,TR,1701977218
288,loango,-4.6719,11.8312,27.81,78,20,3.09,CG,1701977218
289,khawr fakkan,25.3313,56.342,24.03,56,0,2.1,AE,1701977218
290,akureyri,65.6835,-18.0878,-2.04,80,75,0.0,IS,1701977218
291,agat village,13.3886,144.6585,28.06,85,20,4.12,GU,1701977014
